size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,sensitivity_factor,sensitivity_level,quantile_z,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct,reserve_ratio,iteration_budget,uav_count_override
M,1,50,25,2,2,0,high,alns_pinn_full,direct,3,candidate_mode,direct,,M50_P25_seed0_high,not_milp,not_milp,False,not_milp,1250,1250,0.0,85,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,15.0,20.0,5.0,101.0,50.0,900.0,19.0,17.0,19.0,16.0,29.0,38.0,36.0,9.0,17.0,484.979684,610.034511,2601.619784,0.0,0.0,153.001818,1.0,1.0,0,0.089973,12623.658759007529,0.0,0.0,,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,candidate_mode,kmeans,,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,81.0,28.0,19.0,5.0,101.0,50.0,900.0,25.0,19.0,21.0,14.0,21.0,45.0,29.0,11.0,15.0,462.416708,626.928578,2211.976027,0.0,0.0,126.196759,0.916667,0.916667,0,0.090785,10751.31779896753,0.0,0.0,,,
M,1,50,25,2,2,0,high,alns_pinn_full,dbscan,3,candidate_mode,dbscan,,M50_P25_seed0_high_dbscan3,not_milp,not_milp,False,not_milp,150,70,0.533333,10,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,72.0,13.0,28.0,7.0,101.0,50.0,900.0,22.0,20.0,13.0,13.0,32.0,29.0,39.0,11.0,21.0,528.665019,243.518614,8676.977706,0.7,0.7,144.961177,0.75,0.333333,2597.2987,0.028125,12154.509136047529,0.0,0.0,,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,quantile_z,1.28,1.28,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,90,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,73.0,6.0,27.0,6.0,101.0,50.0,900.0,23.0,13.0,24.0,17.0,23.0,43.0,30.0,15.0,12.0,431.041401,571.901594,2209.459151,0.0,0.0,129.798834,0.916667,0.916667,0,0.097941,10671.929524184223,0.0,0.0,,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,quantile_z,1.645,1.645,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,14.0,20.0,4.0,101.0,50.0,900.0,22.0,25.0,14.0,15.0,24.0,38.0,37.0,11.0,14.0,441.195453,590.630016,2211.340411,0.0,0.0,130.910801,0.916667,0.916667,0,0.097645,10737.625062304222,0.0,0.0,,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,quantile_z,1.96,1.96,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,72,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,79.0,13.0,21.0,4.0,101.0,50.0,900.0,22.0,25.0,14.0,15.0,24.0,38.0,37.0,11.0,14.0,441.340219,590.630016,2213.070908,0.0,0.0,130.910801,0.916667,0.916667,0,0.092028,10746.38668006422,0.0,0.0,,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,reserve_ratio,0.08,,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,86,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,14.0,20.0,4.0,101.0,50.0,900.0,22.0,25.0,14.0,15.0,24.0,38.0,37.0,11.0,14.0,441.195453,590.630016,2211.340411,0.0,0.0,130.910801,0.916667,0.916667,0,0.102172,10737.625062304222,0.0,0.0,0.08,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,reserve_ratio,0.12,,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,14.0,20.0,4.0,101.0,50.0,900.0,22.0,25.0,14.0,15.0,24.0,38.0,37.0,11.0,14.0,441.195453,590.630016,2211.340411,0.0,0.0,130.910801,0.916667,0.916667,0,0.092963,10737.625062304222,0.0,0.0,0.12,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,reserve_ratio,0.2,,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,63,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,79.0,13.0,21.0,4.0,101.0,50.0,900.0,22.0,25.0,14.0,15.0,24.0,38.0,37.0,11.0,14.0,441.340219,590.630016,2213.070908,0.0,0.0,130.910801,0.916667,0.916667,0,0.108965,10737.794168064222,0.0,0.0,0.2,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,iteration_budget,50,,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,39.0,12.0,11.0,4.0,51.0,50.0,450.0,11.0,10.0,9.0,5.0,15.0,19.0,17.0,5.0,9.0,441.195453,590.630016,2211.340411,0.0,0.0,130.910801,0.916667,0.916667,0,0.097205,10737.625062304222,0.0,0.0,,50,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,iteration_budget,100,,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,14.0,20.0,4.0,101.0,50.0,900.0,22.0,25.0,14.0,15.0,24.0,38.0,37.0,11.0,14.0,441.195453,590.630016,2211.340411,0.0,0.0,130.910801,0.916667,0.916667,0,0.099889,10737.625062304222,0.0,0.0,,100,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,iteration_budget,160,,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,133.0,15.0,27.0,4.0,161.0,50.0,1440.0,31.0,45.0,24.0,27.0,33.0,54.0,73.0,14.0,19.0,441.195453,590.630016,2211.340411,0.0,0.0,130.910801,0.916667,0.916667,0,0.113775,10737.625062304222,0.0,0.0,,160,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,uav_count,2,,M50_P25_seed1_high_uav_count2_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,14.0,20.0,4.0,101.0,50.0,900.0,22.0,25.0,14.0,15.0,24.0,38.0,37.0,11.0,14.0,463.308767,595.260146,2211.340411,0.0,0.0,135.129575,0.916667,0.916667,0,0.089628,11103.354169304224,0.0,0.0,,,2
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,uav_count,4,,M50_P25_seed1_high_uav_count4_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,14.0,20.0,4.0,101.0,50.0,900.0,22.0,25.0,14.0,15.0,24.0,38.0,37.0,11.0,14.0,441.195453,590.630016,2211.340411,0.0,0.0,130.910801,0.916667,0.916667,0,0.097496,10737.625062304222,0.0,0.0,,,4
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,uav_count,6,,M50_P25_seed1_high_uav_count6_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,14.0,20.0,4.0,101.0,50.0,900.0,22.0,25.0,14.0,15.0,24.0,38.0,37.0,11.0,14.0,441.195453,590.630016,2211.340411,0.0,0.0,130.910801,0.916667,0.916667,0,0.094699,10737.625062304222,0.0,0.0,,,6
M,1,50,25,2,2,1,high,alns_pinn_full,direct,3,candidate_mode,direct,,M50_P25_seed1_high,not_milp,not_milp,False,not_milp,1250,1250,0.0,77,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,73.0,6.0,27.0,6.0,101.0,50.0,900.0,25.0,13.0,25.0,17.0,20.0,45.0,28.0,14.0,13.0,496.366814,634.936846,2583.631641,0.0,0.0,140.742164,1.0,1.0,0,0.098154,11931.512703064222,0.0,0.0,,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,candidate_mode,kmeans,,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,14.0,20.0,4.0,101.0,50.0,900.0,22.0,25.0,14.0,15.0,24.0,38.0,37.0,11.0,14.0,441.195453,590.630016,2211.340411,0.0,0.0,130.910801,0.916667,0.916667,0,0.095579,10737.625062304222,0.0,0.0,,,
M,1,50,25,2,2,1,high,alns_pinn_full,dbscan,3,candidate_mode,dbscan,,M50_P25_seed1_high_dbscan3,not_milp,not_milp,False,not_milp,150,70,0.533333,10,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,16.0,23.0,14.0,101.0,50.0,900.0,31.0,13.0,20.0,12.0,24.0,40.0,35.0,14.0,11.0,496.625137,197.990236,8977.04669,0.7,0.7,128.248587,0.416667,0.166667,2759.7182,0.027624,10622.778944304222,0.0,0.0,,,
